ID,SAMPN,PERNO,MODE,GENDER,AGE,INCOME,CAR,LIC,TRIPDIST_R1,TRPDUR_R,OTAZ,DTAZ,TOD_R
313,3002497,1,2,2,5,4,1,1,4,4,185,17,1
314,3002497,1,4,2,5,4,1,1,1,3,17,11,2
315,3002497,1,4,2,5,4,1,1,1,2,11,17,2
316,3002497,1,2,2,5,4,1,1,3,4,17,185,3
317,3002565,1,5,1,5,1,2,2,1,2,370,370,2
318,3002565,1,5,1,5,1,2,2,1,3,370,370,2
319,3002565,1,5,1,5,1,2,2,1,2,370,370,2
320,3002565,1,5,1,5,1,2,2,1,2,370,370,2
321,3002585,1,1,1,4,4,1,1,1,1,3240,3240,2
322,3002595,1,1,2,6,2,1,1,3,2,2706,2726,2
323,3002595,1,1,2,6,2,1,1,2,2,2726,2727,2
324,3002595,1,1,2,6,2,1,1,3,2,2727,2706,2
325,3002595,2,1,1,6,2,1,1,3,2,2706,2726,2
326,3002595,2,1,1,6,2,1,1,1,1,2726,2726,2
327,3002595,2,1,1,6,2,1,1,1,1,2726,2726,2
328,3002595,2,1,1,6,2,1,1,2,2,2726,2727,2
329,3002595,2,1,1,6,2,1,1,3,2,2727,2706,2
330,3002707,1,1,2,4,1,1,1,4,2,2509,2482,2
331,3002707,1,1,2,4,1,1,1,4,3,2482,2502,2
332,3002707,1,1,2,4,1,1,1,1,2,2502,2509,3
333,3002707,1,1,2,4,1,1,1,2,2,2509,2506,3
334,3002707,1,1,2,4,1,1,1,2,2,2506,2509,4
335,3002707,3,1,2,1,1,1,NA,4,3,2482,2502,2
336,3002707,3,1,2,1,1,1,NA,1,2,2502,2509,3
337,3002707,3,1,2,1,1,1,NA,2,2,2509,2506,3
338,3002707,3,1,2,1,1,1,NA,2,2,2506,2509,4
339,3002707,4,1,2,1,1,1,NA,4,3,2482,2502,2
340,3002707,4,1,2,1,1,1,NA,1,2,2502,2509,3
341,3002780,1,1,2,4,3,1,1,1,2,3246,3246,1
342,3002780,1,1,2,4,3,1,1,1,2,3246,3246,3
343,3002789,1,1,2,5,4,1,1,1,2,1855,1855,1
344,3002789,1,1,2,5,4,1,1,1,1,1855,1855,1
345,3002789,1,1,2,5,4,1,1,6,4,1855,107,3
346,3002789,1,5,2,5,4,1,1,1,2,107,108,3
347,3002789,1,1,2,5,4,1,1,6,5,108,1855,4
348,3002789,2,5,1,5,4,1,1,1,2,107,108,3
349,3002789,2,1,1,5,4,1,1,6,5,108,1855,4
350,3002880,1,1,2,5,3,1,1,4,2,3178,3381,3
351,3002880,2,1,1,4,3,1,1,2,2,3381,3381,3
352,3002880,2,1,1,4,3,1,1,2,3,3381,3381,3
353,3002976,2,1,2,5,4,1,1,4,3,3207,3223,1
354,3002976,2,1,2,5,4,1,1,5,3,3223,1601,1
355,3002976,2,1,2,5,4,1,1,1,2,3207,3207,3
356,3002976,2,1,2,5,4,1,1,1,1,3207,3207,3
357,3002976,3,1,1,3,4,1,1,1,1,3207,3227,3
358,3002976,3,1,1,3,4,1,1,6,4,3227,2783,3
359,3002976,3,1,1,3,4,1,1,5,3,2783,3228,4
360,3003004,1,2,1,4,4,1,1,6,5,641,1986,2
361,3003004,2,1,2,4,4,1,1,2,1,1924,1986,1
362,3003004,2,1,2,4,4,1,1,2,2,1986,1988,2
363,3003004,2,1,2,4,4,1,1,2,2,1988,1986,3
364,3003004,2,1,2,4,4,1,1,2,1,1986,1924,3
365,3003004,2,1,2,4,4,1,1,2,1,1924,1986,3
366,3003004,3,1,2,1,4,1,1,1,1,1987,1986,2
367,3003004,3,1,2,1,4,1,1,1,1,1986,1987,2
368,3003004,3,1,2,1,4,1,1,1,1,1987,1987,2
369,3003041,1,3,2,6,2,2,2,1,3,2679,2679,2
370,3003041,1,5,2,6,2,2,2,1,1,2679,2679,2
371,3003041,1,3,2,6,2,2,2,1,4,2679,2679,2
372,3003044,1,1,1,6,4,1,1,3,2,3178,3178,1
373,3003044,1,1,1,6,4,1,1,2,1,3178,3178,1
374,3003044,1,1,1,6,4,1,1,2,3,3178,3151,2
375,3003044,1,1,1,6,4,1,1,2,2,3151,3178,2
376,3003061,1,1,2,4,3,1,1,3,3,2175,2194,2
377,3003061,1,1,2,4,3,1,1,3,3,2194,2175,2
378,3003097,1,1,1,5,4,1,1,2,2,3294,3294,2
